AidData TUFF Project ID,Recommended For Military Aggregates,Umbrella,Financier Country,Recipient,Recipient Region,Commitment Year,Commitment Year Estimated,Implementation Start Year,Completion Year,Title,Description,Staff Comments,Status,Intent,Flow Type,Concessional,Flow Class,Sector Code,Sector Name,Funding Agencies,Funding Agencies Type,Cofinanced,Cofinancing Agencies,Cofinancing Agencies Type,Cofinancing Agencies Origin,Receiving Agencies,Receiving Agencies Type,Receiving Agencies Origin,Implementing Agencies,Implementing Agencies Type,Implementing Agencies Origin,Accountable Agencies,Accountable Agencies Type,Accountable Agencies Origin,Amount (Original Currency),Original Currency,Amount (Constant USD2017),Amount (Nominal),Planned Implementation Start Date (MM/DD/YYYY),Planned Completion Date (MM/DD/YYYY),Actual Implementation Start Date (MM/DD/YYYY),Actual Completion Date (MM/DD/YYYY),Loan Type,Maturity,Interest Rate,Grace Period,Management Fee,Commitment Fee,Grant Element,Guarantee Provided,Insurance Provided,Collateralized/Securitized,Collateral,Official Source Count,Unofficial Source Count,Source URLs,Source Titles,Source Publishers,Source Type,Geographic Location,geoJSON URL Viz,geoJSON URL DL,Contact Name,Contact Position,ODA Eligible Recipient,Source Quality Score,Data Completeness Score,Project Implementation Score,Loan Detail Score
49578,Yes,No,China (People's Republic of),Philippines,Asia,2017,No,2017,2017,"Chinese Government donates 3,000 rifles, 3 million rounds of ammunition, and 30 sniper cones worth P169 million for fight against terrorists in Marawi City (Linked to Project ID#65948)","On October 5, 2017, the Chinese Government donated P169 million worth of military equipment to the Philippines in order to better fight terrorism in Marawi Cityi. The donation consisted of 3,000 units of rifles, 3 million rounds of assorted ammunition, and 30 sniper cones. Most of the rifles were to be turned over to the Special Action Force (SAF) of the Philippine National Police (PNP), while the scopes would remain with the AFP. The handover ceremony was held in Camp Aguinaldo.This project is linked to #65948, a $500 million loan intended for supporting the Philippine Military.",,Completion,Military,Grant,Yes,Military,150,GOVERNMENT AND CIVIL SOCIETY,Unspecified Chinese Government Institution,Government Agency,No,,,,Government of the Philippines,Government Agency,Recipient,,,,,,,169000000,PHP,3352078.399,3352078.399,,,10/5/2017,10/5/2017,,,,,,,,,,,,2,8,http://ph.china-embassy.org/eng/sgdt/t1499708.htm|https://pakobserver.net/china-donates-military-equipment-philippines/|http://cnnphilippines.com/news/2017/10/06/China-donates-military-hardware-Philippines.html|https://www.untvweb.com/news/china-donates-firearms-ammunition-philippines/|https://thediplomat.com/2017/10/china-gives-new-equipment-to-philippines-for-marawi-recovery/|https://thediplomat.com/2017/10/whats-in-the-new-china-military-aid-to-the-philippines/|https://global.factiva.com/redir/default.aspx?P=sa&an=DPAEN00020171025edap006mx&cat=a&ep=ASE|https://global.factiva.com/redir/default.aspx?P=sa&an=PHILNA0020171005eda50005x&cat=a&ep=ASE|https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=PEODEN0020171005eda50000w&cat=a&ep=ASE|https://newsinfo.inquirer.net/1100725/china-to-give-philippine-military-additional-p1-billion-aid,China donates second batch of military equipment to Philippines to fight terrorists|China donates military equipment to Philippines|China donates P169 million worth of military hardware to the Philippines|China donates more firearms and ammunition to the Philippines|China Gives New Equipment to Philippines for Marawi Recovery|What’s in the New China Military Aid to the Philippines?|Philippines and China closen ties through defence cooperation|PNP to get weapons donation from China: Lorenzana|China donates more weapons to the Philippines for anti-terrorism|China to give Philippine military additional P1-billion aid,Embassy of the People's Republic of China in the Republic of the Philippines|Pakistan Observer|CNN|UNTV|The Diplomat|The Diplomat||||Inquirer,"Donor/Recipient Official Source|Media Report|Media Report|Media Report|Media Report|Media Report|Other Official Source (non-Donor, non-Recipient, non-Implementing)|Media Report|Media Report|Media Report",Marawi,,,,,Yes,5,3,4,
54377,Yes,No,China (People's Republic of),Kyrgyz Republic,Asia,2017,No,,,China's Ministry of Defense provides RMB 100 million grant to Kyrgyzstan's Armed Forces,"On March 22, 2017, the Chief of Staff for Kyrgyzstan's Armed Forces met with the Defense Minister of China, Chang Wanquan. At the end of the meeting, the parties signed an RMB 100 million military grant agreement. It is unclear if any disbursements have taken place through this agreement.",,Pipeline: Commitment,Military,Grant,Yes,Military,150,GOVERNMENT AND CIVIL SOCIETY,China Ministry of Defense,Government Agency,No,,,,Kyrgyz Ministry of Defense,Government Agency,Recipient,,,,,,,100000000,CNY,14798489.49,14798489.49,3/22/2017,,,,,,,,,,,,,,,1,3,https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=KABNEW0020170322ed3m0005o&cat=a&ep=ASE|https://24.kg/english/47683_China_to_provide_Kyrgyzstan_100_million_yuan_grant_aid_/|https://akipress.com/news:590334/|http://eng.mod.gov.cn/news/2017-03/31/content_4777422.htm,Chinese Ministry of Defense to grant more than RMB 100 mln to the General Staff of the Armed Forces of Kyrgyzstan|China to provide Kyrgyzstan 100 million yuan grant aid|China defense ministry will grant $14.4 million to General Staff of Armed Forces of Kyrgyzstan|Defense Ministry's regular press conference on March 30,Kabar News|24 Kyrgyzstan|AKIPress|Chinese Ministry of Defense,Media Report|Media Report|Media Report|Donor/Recipient Official Source,,,,,,Yes,4,4,,
54398,No,No,China (People's Republic of),Afghanistan,Asia,2017,No,,,Chinese Government funds army training amp in Wakhan Corridor (Linked to Project ID#54116),"In 2017, the Chinese Government began to build and fund a training camp in the Wakhan Corridor, a narrow strip of inhospitable land extending about 350km from the northern Afghan province of Badakhshan to China's restive Muslim region of Xinjiang. A grant agreement was reportedly signed when China's Central Military Commission Vice Chairman Xu Qiliang met with Afghan Minister of Defense Tariq Shah Bahrami on December 27, 2017. However, the monetary value of this grant agreement is unknown. In addition to financing the construction of the training camp, the Chinese Government reportedly agreed to dispatch a battalion of People's Liberation Army (PLA) soldiers (approximately 500 in total) and provide weaponry and training to the Afghan troops stationed there. Afghan General Dawlat Waziri, a spokesman for the Afghan Ministry of Defense, said that the Chinese Government would cover “all material and technical expenses for this base — weaponry, uniforms for soldiers, military equipment, and everything else necessary for its functioning.”  However, China's Ministry of Foreign Affairs officially denied the construction of this training camp in 2018 (most likely because of sensitivities around the idea of China establishing an overseas military ‘base’). The Chinese Government later clarified that the facility was only developed for training and logistics purposes.",This project may have been financed partially or entirely through a $70 million grant commitment that is captured via Project ID#54116.,Cancelled,Military,Vague TBD,Vague,Military,150,GOVERNMENT AND CIVIL SOCIETY,China Ministry of Commerce,Government Agency,No,,,,Afghanistan National Army,Government Agency,Recipient,People's Liberation Army of China,Government Agency,China (People's Republic of),,,,,,,,,,,,,,,,,,,,,,,4,7,https://drive.google.com/file/d/1Yl3um_v-55dYsLcUCuYmRCJMqWqGIf_R/view?usp=sharing|https://www.scmp.com/news/china/diplomacy-defence/article/2161745/china-building-training-camp-afghanistan-fight|https://thediplomat.com/2018/08/with-rumored-training-camp-chinas-afghanistan-presence-set-to-grow/|https://mcit.gov.af/china-government-pledges-cooperation-implementation-wakhan-corridor-project|http://documents.worldbank.org/curated/en/475531518927896475/pdf/PIDISDS-APR-Print-P156894-02-17-2018-1518927888187.pdf| https://mof.gov.af/en/china-investment-mine-and-energy-sectors-was-heart-minister-finance-meeting-chinese-ambassador |https://www.itu.int/en/ITU-D/Regional-Presence/CIS/Documents/Events/2018/08_Issyk-Kul/Presentations/ITU%20Workshop%2028.08.2018%20-%20Shahzad%20Gul%20Aryobee.pdf|https://www.brookings.edu/wp-content/uploads/2020/06/FP_20200615_china_afghanistan_felbab_brown.pdf|https://www.inkstonenews.com/china/china-fund-construction-anti-terrorist-training-camp-afghanistan/article/2161869|https://asiasociety.org/sites/default/files/2020-09/Weaponizing%20the%20Belt%20and%20Road%20Initiative_0.pdf|https://www.chinatimes.com/cn/newspapers/20180830000650-260108?chdtv,"China to 'fund' establishing Afghan army division in north|China is helping Afghanistan set up mountain brigade to fight terrorism|With Rumored 'Training Camp,' China's Afghanistan Presence Set to Grow|China Government Pledges Cooperation In The Implementation Of The Wakhan Corridor Project|COMBINED PROJECT INFORMATION DOCUMENTS / INTEGRATED SAFEGUARDS DATA SHEET (PID/ISDS)|China Investment On Mine And Energy Sectors Was Heart Of Minister Of Finance Meeting With Chinese Ambassador To Afghanistan|Moving towards eGovernance|A BRI(DGE) TOO FAR: THE UNFULFILLED PROMISE AND LIMITATIONS OF CHINA’S INVOLVEMENT IN AFGHANISTAN|Why is China funding a military outpost in Afghanistan?|REPORT   Weaponizing the Belt  and Road Initiative|???????? ??????",BBC Monitoring South Asia|South China Morning Post|The Diplomat|Afghanistan Ministry of Communications and Information Technology|World Bank|Afghanistan's Ministry of Finance|Islamic Republic of Afghanistan Minister of Communication & IT|Brookings Institution|Inkstone|ASIA SOCIETY POLICY INSTITUTE|????,"Media Report|Media Report|Media Report|Donor/Recipient Official Source|Other Official Source (non-Donor, non-Recipient, non-Implementing)|Donor/Recipient Official Source|Donor/Recipient Official Source|NGO/Civil Society/Advocacy (non-Donor, non-Recipient, non-Implementing)|Media Report|Academic Journal Article|Media Report",Wakhan Corridor,,,,,Yes,5,3,,
54917,Yes,No,China (People's Republic of),Bahamas,America,2017,No,2017,2017,"Chinese Government 2 4x4 light armored vehicles, 10,038 smoke and tear-gas grenades, and 60 night-vision goggles worth $1.2 million","On September 20, 2017, the Chinese Government donated $1.2 million worth of military equipment — including two Shaanxi Baoji Special Vehicles Co Tiger 4x4 light armored vehicles, 10,038 smoke and tear-gas grenades and 60 night-vision goggles — to the Royal Bahamas Defense Force (RBDF).  The equipment was officially handed over in a ceremony at the RBDF’s Coral Harbour base in Nassau.",,Completion,Military,Grant,Yes,Military,150,GOVERNMENT AND CIVIL SOCIETY,Unspecified Chinese Government Institution,Government Agency,No,,,,Royal Bahamas Defense Force ,Government Agency,Recipient,,,,,,,1200000,USD,1200000,1200000,,,9/20/2017,9/20/2017,,,,,,,,,,,,0,3,https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=JDW0000020171012ed9k0000r&cat=a&ep=ASE|http://english.chinamil.com.cn/view/2017-09/12/content_7752376.htm|http://www.tribune242.com/news/2016/jan/29/china-gives-12m-buy-military-equipment/,CHINA DONATES MILITARY EQUIPMENT TO THE BAHAMAS|China donates military equipment to the Bahamas|China Gives $1.2m To Buy Military Equipment,Jane's Defence Weekly|China Military |The Tribune ,Media Report|Media Report|Media Report,,,,,,No,1,3,3,
56471,Yes,No,China (People's Republic of),Guyana,America,2017,No,,, China donates military supplies to Guyana,"On April 4, 2017, China donates military supplies to Guyana. According to the Ministry of Foreign Affairs of the Republic of Guyana, the military supplies include 31 pieces of equipment including patrol boats, bulldozers, one excavator, water tankers, fuel tankers, tipper trucks, off-road ambulances, and several other vehicles. According to the President of Guyana, these supplies are being used for national development, protecting territory, and preventing transnational crime.  ",,Completion,Military,Grant,Yes,Military,150,GOVERNMENT AND CIVIL SOCIETY,Unspecified Chinese Government Institution,Government Agency,No,,,,Government of Guyana,Government Agency,Recipient,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,http://gy.china-embassy.org/chn/sgxw/t1451192.htm|http://eng.chinamil.com.cn/view/2017-04/06/content_7552423.htm|https://www.minfor.gov.gy/news/chinese-army-donates-military-equipment-to-guyana-defence-force-will-enhance-gdfs-infrastructural-development-role/|http://english.pladaily.com.cn/view/2017-04/06/content_7552423.htm,?????????????????|Chinese Army Donates Military Equipment to Guyana Defence Force|CHINESE ARMY DONATES MILITARY EQUIPMENT TO GUYANA DEFENCE FORCE -WILL ENHANCE GDF’S INFRASTRUCTURAL DEVELOPMENT ROLE|Chinese Army Donates Military Equipment to Guyana Defence Force,|China Military|Ministry of Foreign Affairs of the Republic of Guyana|,Donor/Recipient Official Source|Media Report|Donor/Recipient Official Source|Media Report,,,,,,Yes,5,2,1,
56483,Yes,No,China (People's Republic of),Central African Republic,Africa,2017,No,2017,2017,Chinese government donates military equipment worth CFA 2 billion to CAR’s Ministry of National Defense,"On November 17, 2017, the Chinese Government donated military equipment worth 2 billion CFA to the Central African republic’s Ministry of National Defense. The equipment donation consisted of telephones, tents, sleeping bags, modular rooms, and cameras.",,Completion,Military,Grant,Yes,Military,150,GOVERNMENT AND CIVIL SOCIETY,Unspecified Chinese Government Institution,Government Agency,No,,,,Central African Republic Ministry of National Defense,Government Agency,Recipient,,,,,,,2000000000,XAF,3436248.991,3436248.991,,,11/17/2017,11/17/2017,,,,,,,,,,,,0,1,https://www.acap.cf/Le-president-Faustin-Archange-Touadera-receptionne-du-materiel-militaire-chinois-destine-a-l-armee-centrafricaine_a8118.html,Le président Faustin Archange Touadéra réceptionne du matériel militaire chinois destiné à l'armée centrafricaine,Agence centrafricaine de presse,Media Report,,,,,,Yes,1,3,3,
56636,Yes,No,China (People's Republic of),Lesotho,Africa,2017,No,2017,,China hosts 21 Lesotho Defense Force officers for military training (Linked to Umbrella Project #55573),"On 1 August 2017, the Chinese Embassy in Lesotho celebrated the 90th anniversary of the Chinese People's Liberation Army and held an official send-off ceremony for the 21 Basotho officers headed to China for military training (see: Lesotho News Agency; Embassy). The course was scheduled to last the duration of the 2017/18 training calendar starting in September (see: Lesotho Times). Topics include: infantry-based training, engineering, communication, air force, logistics and ordinance, information technology, and military physical education. According to the Lesotho Times, this project is a part of a bilateral security cooperation framework from 2003 (umbrella project #55573). ",,Completion,Military,Scholarships/training in the donor country,Yes,Military,150,GOVERNMENT AND CIVIL SOCIETY,Unspecified Chinese Government Institution,Government Agency,No,,,,,,,Lesotho Defense Force|People's Liberation Army of China,Government Agency|Government Agency,Recipient|China (People's Republic of),,,,,,,,,9/1/2018,9/1/2017,,,,,,,,,,,,,2,2,https://global.factiva.com/redir/default.aspx?P=sa&an=HTIFMV0020170809ed880002t&cat=a&ep=ASE|http://lestimes.com/ldf-members-undergo-training-in-china/|https://global.factiva.com/redir/default.aspx?P=sa&an=HTLENA0020170803ed82000rw&cat=a&ep=ASE|http://ls.chineseembassy.org/chn/sgdt/t1482408.htm,21 LDF officers off to China|LDF members undergo training in China|SOLDIERS TO LEAVE FOR CHINA|???????????????????90?????,Informative|Lesotho Times|Lesotho News Agency|Embassy of the People's Republic of China in the Kingdom of Lesotho,Donor/Recipient Official Source|Media Report|Media Report|Donor/Recipient Official Source,,,,,,Yes,5,2,3,
56672,Yes,No,China (People's Republic of),Liberia,Africa,2017,No,,,Chinese Government provides $3 million grant to Liberian Ministry of National Defense,"In early 2017, the Ministry of National Defense of the Peoples' Republic of China (PRC) donated a batch of equipment worth RMB 20 million ($3 million) to Liberia's Ministry of National Defense. The donation consisted of medical equipment, supplies and engineering equipment. The purpose of the donation was to assist with the military medical outreach and other civil-military initiatives.",,Completion,Military,Grant,Yes,Military,150,GOVERNMENT AND CIVIL SOCIETY,China Ministry of Defense,Government Agency,No,,,,Liberia Ministry of Defense,Government Agency,Recipient,,,,,,,20000000,CNY,2959697.897,2959697.897,,,,,,,,,,,,,,,,0,2,https://global.factiva.com/redir/default.aspx?P=sa&an=AFNWS00020170228ed2s000pu&cat=a&ep=ASE|https://frontpageafricaonline.com/news/2016news/china-to-strengthen-military-friendship-with-liberia/,China Provides U.S.$3 Million Military Aid|China to Strengthen Military Friendship With Liberia,AllAfrica|Front Page Africa,Media Report|Media Report,,,,,,Yes,1,4,1,
57925,Yes,No,China (People's Republic of),Sudan,Africa,2017,No,,,China sends peacekeeping helicopter detachment to Sudan,"On October 19, 2017, the United Nations African Union Hybrid Mission in Darfur notified China's peacekeeping helicopter detachment that the 4 helicopters it had brought passed equipment verification. The detachment consisted of 140 peacekeepers and 4 Mi-171 medium multi-purpose helicopters. While in Sudan, this detachment was tasked with performing air lifts of peacekeeping troops, personnel search and evacuation, and logistics supply transportation among other support tasks. It is uncertain exactly when this detachment arrived in Sudan and when they returned to China.",,Implementation,Military,Free-standing technical assistance,Yes,Military,150,GOVERNMENT AND CIVIL SOCIETY,Unspecified Chinese Government Institution,Government Agency,No,,,,Government of Sudan,Government Agency,Recipient,United Nations African Union Hybrid Mission in Darfur,Intergovernmental Organization,Other,,,,,,,,,,,,,,,,,,,,,,,0,1,https://global.factiva.com/redir/default.aspx?P=sa&an=PARALL0020171020edaj000tq&cat=a&ep=ASE,China’s peacekeeping helicopter detachment to Sudan passes UN equipment verification,Foreign Affairs,Media Report,,,,,,Yes,1,3,2,
59112,Yes,No,China (People's Republic of),Mali,Africa,2017,No,,,HAMC provides 2 Harbin Y-12 aircraft to Malian Air Force,"On or around September 18, 2017, China provided two Harbin Y-12 twin-engine military transport aircraft on Mali's Air Force. The Y-12 is a twin engine light multi role aircraft designed and developed by Harbin Aircraft Manufacturing Corporation (HAMC) of China.","1. There is some disagreement among different sources about whether these aircraft were donated by China or purchased by Mali. The monetary value of the aircraft is also unknown. These issues warrant further investigation. 2. On August 31, 2017, the aircraft departed Guilin Liangjiang IAP for Kunming Wujiaba IAP in China, with subsequent stops in Myanmar, Pakistan (two stops), India (three stops), Oman, Bahrain, Saudi Arabia, Cairo and Heraklion before touching down in Malta. The aircraft departed Luqa for Houari Boumediene Airport in Algiers, before arriving in Mali. The two aircraft are TZ-WAB (c/n 095), which becomes TZ-22T with the Mali Air Force, and TZ-WAA (c/n 093), updating its registration to TZ-21T. The transports arrived at Luqa on September 18, 2017 using the callsigns ‘SXA402’ and ‘SXA403’ respectively.”",Completion,Military,Vague TBD,Vague,Military,210,TRANSPORT AND STORAGE,Unspecified Chinese Government Institution,Government Agency,No,,,,Government of Mali,Government Agency,Recipient,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,https://defpost.com/mali-air-force-receives-chinese-y-12-military-transport-aircraft/|http://malijet.co/politique/le-19e-congres-du-parti-communiste-chinois-et-les-relations-sino-africaines|http://slide.mil.news.sina.com.cn/k/slide_8_193_56359.html#p=1|http://news.jstv.com/a/20170907/1504767584941.shtml |https://m.huanqiu.com/gallery/9CaKrnQhGoA|http://malijet.com/actualite-politique-au-mali/199013-le-19e-congres-du-parti-communiste-chinois-et-les-relations-sino.html,Mali Air Force receives Chinese Y-12 military transport aircraft|The 19th Congress of the Chinese Communist Party and Sino-African Relations|??????????-12??????-12????????????????????????????????????????????????????????????????????????? skerryer?|???????????? ??????????|?????12?? ????|Le 19e congrès du Parti communiste chinois et les relations sino-africaines,Defpost|Malijet||JSTV||Mali Jet,Media Report|Media Report|Media Report|Media Report|Media Report|Media Report,,,,,,Yes,1,1,1,
