Country or Area,Year,Value
Afghanistan,2016,54.5
Afghanistan,2011,38.3
Afghanistan,2007,33.7
Albania,2012,14.3
Albania,2008,12.4
Albania,2005,18.5
Albania,2002,25.4
Algeria,2011,5.5
Angola,2018,32.3
Argentina,2019,35.5
Argentina,2018,32
Argentina,2017,25.7
Argentina,2016,30.3
Armenia,2019,26.4
Austria,2018,13.3
Austria,2017,14.3
Austria,2016,14.4
Austria,2015,14.1
Austria,2014,13.9
Austria,2013,14.1
Austria,2012,14.4
Austria,2011,14.4
Austria,2010,14.5
Austria,2009,14.7
Austria,2008,14.5
Austria,2007,15.2
Austria,2006,12
Austria,2005,12.6
Austria,2004,12.6
Austria,2003,13
Austria,2002,13.2
Azerbaijan,2012,6
Azerbaijan,2011,7.6
Azerbaijan,2010,9.1
Azerbaijan,2009,10.9
Azerbaijan,2008,13.2
Azerbaijan,2007,15.8
Azerbaijan,2001,49.6
Bangladesh,2016,24.3
Bangladesh,2010,31.5
Bangladesh,2005,40
Bangladesh,2000,48.9
Belarus,2019,5
Belarus,2018,5.6
Belarus,2017,5.9
Belarus,2016,5.7
Belarus,2015,5.1
Belarus,2014,4.8
Belarus,2013,5.5
Belarus,2012,6.3
Belarus,2011,7.3
Belarus,2010,5.2
Belarus,2009,5.4
Belarus,2008,6.1
Belarus,2007,7.7
Belarus,2006,11.1
Belarus,2005,12.7
Belarus,2004,17.8
Belarus,2003,27.1
Belarus,2002,30.5
Belarus,2001,28.9
Belarus,2000,41.9
Belgium,2018,14.8
Benin,2019,38.5
Benin,2015,40.1
Benin,2011,36.2
Benin,2010,35.2
Benin,2007,33
Benin,2006,37.5
Bhutan,2017,8.2
Bhutan,2012,12
Bhutan,2007,23.2
Bolivia,2019,37.2
Bosnia and Herzegovina,2015,16.9
Bosnia and Herzegovina,2011,17.9
Bosnia and Herzegovina,2007,18.2
Botswana,2009,19.3
Botswana,2002,30.6
Botswana,1993,32.9
Botswana,1985,59
Bulgaria,2019,23.8
Burkina Faso,2018,41.4
Burundi,2013,64.9
Burundi,2006,67.1
C̫te d'Ivoire,2018,39.5
C̫te d'Ivoire,2015,44.4
Cabo Verde,2015,35
Cabo Verde,2007,46
Cabo Verde,2001,58
Cambodia,2012,17.7
Cambodia,2011,20.5
Cambodia,2010,22.1
Cambodia,2009,23.9
Cambodia,2008,34
Cambodia,2006,45
Cambodia,2003,50.2
Cameroon,2014,37.5
Cameroon,2007,39.9
Cameroon,2001,40.2
Cameroon,1996,53.3
Central African Republic,2008,62
Chad,2018,42.3
Chile,2017,8.6
Chile,2015,11.7
Chile,2013,14.4
Chile,2011,22.2
Chile,2009,25.3
Chile,2006,29.1
Chile,2003,35.4
Chile,2000,36
China,2019,0.6
China,2018,1.7
China,2017,3.1
China,2016,4.5
China,2015,5.7
China,2014,7.2
China,2013,8.5
China,2012,10.2
China,2011,12.7
China,2010,17.2
China,2005,30.2
China,2000,49.8
Colombia,2019,35.7
Comoros,2013,42.4
Congo,2011,40.9
Congo,2005,50.7
Costa Rica,2019,21
Costa Rica,2018,21.1
Costa Rica,2017,20
Costa Rica,2016,20.5
Costa Rica,2015,21.7
Costa Rica,2014,22.4
Costa Rica,2013,20.7
Costa Rica,2012,20.6
Costa Rica,2011,21.7
Croatia,2018,18.3
Croatia,2017,19.3
Croatia,2016,20
Croatia,2015,19.5
Croatia,2014,20
Croatia,2013,19.4
Croatia,2012,19.5
Croatia,2011,20.4
Croatia,2010,20.9
Croatia,2009,20.6
Cyprus,2018,14.7
Cyprus,2017,15.4
Cyprus,2016,15.7
Cyprus,2015,16.1
Cyprus,2014,16.2
Cyprus,2013,14.4
Cyprus,2012,15.3
Cyprus,2011,14.7
